,remark,price,title,flavour,environment,service
93,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
94,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
95,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
96,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
97,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
98,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
99,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
100,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
101,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
102,641,88,红鼎坊(总店),8.2,8.0,7.9
103,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
104,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
105,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
106,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
107,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
108,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
109,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
110,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
111,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
112,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
113,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
114,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
115,10,,春熙里老火锅,7.6,7.8,7.7
116,31,119,川家铺子火锅,6.9,7.2,7.1
117,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
118,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
119,276,68,锦园火锅,7.2,8.3,7.7
120,4,,大龙火锅,6.9,6.9,6.9
121,26,40,逗士香砂锅串串,7.1,7.0,7.2
122,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
123,2,,四川宾馆南楼,6.8,6.8,6.8
124,1,,小涮锅,6.9,7.0,6.9
125,12,,大蜀龙门火锅(春熙总店),7.0,7.1,6.8
126,339,65,雷火锅新派串串(太古里店),9.0,8.7,8.8
127,428,79,龍爷翻大江老火锅(春熙路总店),8.1,9.0,8.4
128,203,73,红花椒新火锅(春熙路店),7.6,7.8,7.9
129,118,81,摆渡人老火锅铺,7.4,7.5,7.5
130,664,81,大院火老火锅(春熙路店),9.0,9.1,9.1
131,701,111,大侠行江湖火锅(春熙店),8.7,9.3,9.0
132,491,67,华兴九号辣铺(春熙总店),8.6,9.2,9.0
133,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,8.9
134,675,87,月满大江火锅(总府路店),9.0,9.1,8.9
135,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,8.3
136,278,96,鲜炎·炭火火锅,8.1,8.8,8.1
137,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,8.6
138,1260,75,码头故事火锅(春熙路店),8.8,9.1,8.9
139,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,8.6
140,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,7.7
141,2139,90,春熙里老火锅(春熙总店),8.5,9.0,8.6
142,1723,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,8.9
143,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,7.8
144,1244,86,醉码头火锅(春熙路店),8.8,9.1,8.6
145,280,125,大妙火锅(太古里店),8.4,9.1,8.4
146,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,8.5
147,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,8.3
148,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,8.8
149,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,8.8
150,1632,78,野兽花园重庆火锅(太古里店),8.0,8.8,8.1
151,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,7.8
152,145,68,老重庆金三角串串香,7.7,7.0,7.4
153,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,8.8
154,82,76,小春熙老火锅(春熙路店),8.9,9.1,8.7
155,112,63,蜀财神火锅,9.0,9.1,8.9
156,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,8.1
157,1,,谭二师路边麻辣烫,7.6,7.6,7.6
158,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,7.4
159,528,102,梨园火锅(兰桂坊店),8.2,9.1,8.6
160,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,8.1
161,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,8.4
162,530,63,竹板凳老火锅(春熙店),8.2,8.9,8.6
163,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,8.2
164,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,8.4
165,59,62,灶王爷石锅老火锅,8.5,8.7,8.5
166,340,82,蜀国大师(盐市口店),8.3,9.1,8.8
167,641,88,红鼎坊(总店),8.2,8.0,7.9
168,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,8.4
169,536,77,一条乌鱼泡龙虾,7.6,8.1,7.7
170,642,82,大龙火锅(春熙路概念店),7.8,8.1,7.7
171,1022,74,蜀宗袍哥人家老火锅(春熙路店),8.2,8.2,7.7
172,1419,77,蜀锦味老火锅(春熙路店),7.9,8.1,7.7
173,559,94,聚百香川西坝子(香槟广场店),7.8,7.8,7.8
174,489,74,闹城都鲜货火锅(春熙路店),7.6,8.4,7.7
175,1816,65,三国烤肉海鲜欢乐自助风(春熙店),7.0,6.9,7.0
176,1,,囍辣火锅厅·喜辣(太古里店),7.7,7.7,7.7
177,346,79,围炉川西坝子火锅(总府路店),8.0,8.1,8.0
178,386,74,蓉城江北老灶火锅(春熙路店),7.1,7.4,6.9
179,119,79,红瓦房火锅(春熙路王府井店),7.8,8.1,7.9
180,10,,春熙里老火锅,7.6,7.8,7.7
181,31,119,川家铺子火锅,6.9,7.2,7.1
182,202,89,大道川西坝子火锅(春熙路店),6.8,6.9,7.4
183,52,72,味霸美蛙鱼头主题龙虾馆(香槟广场店),7.3,7.1,7.2
184,276,68,锦园火锅,7.2,8.3,7.7
185,4,,大龙火锅,6.9,6.9,6.9
186,26,40,逗士香砂锅串串,7.1,7.0,7.2
187,1,,醉城都火锅(香槟广场店),7.1,7.1,7.1
